stn;time;rhh150dx;rka150d0;rhhtimdx
LUZ;20170101;0.0;0.0;-
LUZ;20170102;1.2;3.9;20:00
LUZ;20170103;0.0;0.0;-
LUZ;20170104;0.5;1.7;17:00
LUZ;20170105;0.8;1.6;16:00
LUZ;20170106;0.0;0.0;-
LUZ;20170107;0.0;0.0;-
LUZ;20170108;1.5;4.3;04:00
LUZ;20170109;0.0;0.0;-
LUZ;20170110;1.3;5.1;13:00
LUZ;20170111;0.4;1.2;04:00
LUZ;20170112;0.8;2.2;22:00
LUZ;20170113;2.2;5.5;00:00
LUZ;20170114;0.2;0.8;11:00
LUZ;20170115;0.3;1.1;03:00
LUZ;20170116;0.5;2.7;11:00
LUZ;20170117;0.2;0.4;06:00
LUZ;20170118;0.0;0.0;-
LUZ;20170119;0.0;0.0;-
LUZ;20170120;0.0;0.0;-
LUZ;20170121;0.0;0.0;-
LUZ;20170122;0.0;0.0;-
LUZ;20170123;0.0;0.0;-
LUZ;20170124;0.0;0.0;-
LUZ;20170125;0.0;0.0;-
LUZ;20170126;0.0;0.0;-
LUZ;20170127;0.0;0.0;-
LUZ;20170128;0.0;0.0;-
LUZ;20170129;0.0;0.0;-
LUZ;20170130;0.8;3.7;21:00
LUZ;20170131;2.8;30.3;21:00
LUZ;20170201;2.6;12.0;04:00
LUZ;20170202;0.0;0.0;-
LUZ;20170203;0.8;0.9;08:00
LUZ;20170204;0.6;1.2;16:00
LUZ;20170205;1.2;9.9;23:00
LUZ;20170206;1.7;10.1;06:00
LUZ;20170207;1.8;6.2;22:00
LUZ;20170208;1.0;5.5;03:00
LUZ;20170209;0.0;0.0;-
LUZ;20170210;0.0;0.0;-
LUZ;20170211;0.0;0.0;-
LUZ;20170212;0.0;0.0;-
LUZ;20170213;0.0;0.0;-
LUZ;20170214;0.0;0.0;-
LUZ;20170215;0.0;0.0;-
LUZ;20170216;0.0;0.0;-
LUZ;20170217;5.7;20.2;12:00
LUZ;20170218;0.0;0.0;-
LUZ;20170219;0.0;0.0;-
LUZ;20170220;0.0;0.0;-
LUZ;20170221;1.5;4.5;09:00
LUZ;20170222;0.0;0.0;-
LUZ;20170223;0.0;0.0;-
LUZ;20170224;2.3;7.8;03:00
LUZ;20170225;0.0;0.0;-
LUZ;20170226;0.0;0.0;-
LUZ;20170227;0.0;0.0;-
LUZ;20170228;5.4;17.1;15:00
LUZ;20170301;0.0;0.0;-
LUZ;20170302;0.7;2.1;08:00
LUZ;20170303;0.0;0.0;-
LUZ;20170304;1.6;2.4;19:00
LUZ;20170305;6.9;8.0;23:00
LUZ;20170306;3.1;13.0;20:00
LUZ;20170307;1.2;2.0;00:00
LUZ;20170308;2.8;9.3;20:00
LUZ;20170309;2.8;19.7;12:00
LUZ;20170310;1.1;1.2;00:00
LUZ;20170311;0.0;0.0;-
LUZ;20170312;0.0;0.0;-
LUZ;20170313;0.0;0.0;-
LUZ;20170314;0.0;0.0;-
LUZ;20170315;0.0;0.0;-
LUZ;20170316;0.0;0.0;-
LUZ;20170317;0.0;0.0;-
LUZ;20170318;3.8;24.7;11:00
LUZ;20170319;0.6;1.8;00:00
LUZ;20170320;0.0;0.0;-
LUZ;20170321;0.0;0.0;-
LUZ;20170322;2.1;8.0;21:00
LUZ;20170323;0.7;0.7;00:00
LUZ;20170324;0.0;0.0;-
LUZ;20170325;0.0;0.0;-
LUZ;20170326;0.0;0.0;-
LUZ;20170327;0.0;0.0;-
LUZ;20170328;0.0;0.0;-
LUZ;20170329;0.0;0.0;-
LUZ;20170330;0.0;0.0;-
LUZ;20170331;0.0;0.0;-
LUZ;20170401;0.0;0.0;-
LUZ;20170402;0.0;0.0;-
LUZ;20170403;0.5;0.6;23:00
LUZ;20170404;0.7;0.9;07:00
LUZ;20170405;0.7;1.7;04:00
LUZ;20170406;0.0;0.0;-
LUZ;20170407;0.0;0.0;-
LUZ;20170408;0.0;0.0;-
LUZ;20170409;0.0;0.0;-
LUZ;20170410;0.0;0.0;-
LUZ;20170411;0.0;0.0;-
LUZ;20170412;0.0;0.0;-
LUZ;20170413;0.0;0.0;-
