####################################################################### 
# Datet Time: 20181012 Camera ID: 1 Softwareversion: 3.  
####################################################################### 
# sun_x, sun_y: position in pixels of sun.  
# lum_hdr:      luminance from HDR image  
# lum_hdr_m:    luminance from masked HDR image  
# lum_jpg_m:    luminance from masked and tone mapped HDR image  
# lum_sqrcrpt:  luminance from cropped square of low_LDR image  
####################################################################### 
no,date,time,sun_x,sun_y,lum_hdr,lum_hdr_m,lum_jpg_m,lum_sqrcrpt 
0,2018-10-12,09:00:32,nan,nan,1776.205,1559.4404759,10155.8953133,0
1,2018-10-12,09:01:10,nan,nan,1748.1163,1533.7746441,9889.2430855,0
2,2018-10-12,09:01:46,nan,nan,1795.4769,1572.999367,9965.4901477,0
3,2018-10-12,09:02:11,nan,nan,1783.3439,1556.5826995,9878.0848514,0
4,2018-10-12,09:02:28,nan,nan,1800.2426,1573.2672076,9974.7404095,0
5,2018-10-12,09:02:46,nan,nan,1807.9711,1578.0541882,9937.5081098,0
6,2018-10-12,09:03:22,nan,nan,1825.3544,1591.8908653,9974.5188648,0
7,2018-10-12,09:04:52,nan,nan,1851.034,1616.2954551,10179.4018711,0
8,2018-10-12,09:05:10,nan,nan,1845.7911,1609.3720654,10330.5532004,0
9,2018-10-12,09:05:29,nan,nan,1853.03,1616.4832554,10251.6383185,0
10,2018-10-12,09:06:04,nan,nan,1874.8943,1637.0077361,10195.0869876,0
11,2018-10-12,09:06:21,nan,nan,1863.4052,1625.5758135,10138.4109828,0
12,2018-10-12,09:06:41,nan,nan,1871.4741,1632.8599014,10416.1448845,0
13,2018-10-12,09:07:00,nan,nan,1887.0826,1645.1998605,10235.739147,0
14,2018-10-12,09:07:17,nan,nan,1879.9153,1641.8978959,10529.5876628,0
15,2018-10-12,09:07:35,nan,nan,1880.815,1637.934315,10464.2846385,0
16,2018-10-12,09:07:53,nan,nan,1882.6711,1640.1966423,10549.3123129,0
17,2018-10-12,09:08:10,nan,nan,1889.3193,1644.5645222,10471.5942252,0
18,2018-10-12,09:09:02,nan,nan,1896.3163,1648.3093243,10696.4686664,0
19,2018-10-12,09:09:19,nan,nan,1905.408,1657.0708347,10545.1391769,0
20,2018-10-12,09:09:39,nan,nan,1918.8381,1670.9614703,10560.7176934,0
21,2018-10-12,09:09:57,nan,nan,1917.804,1665.8948169,10661.7172426,0
22,2018-10-12,09:10:15,2078,452,1931.6201,1681.3410647,10461.9542003,0
23,2018-10-12,09:11:00,2075,447,1952.7627,1698.9859666,10772.134545,0
24,2018-10-12,09:11:17,2074,445,1962.6001,1708.3876215,10952.2568806,0
25,2018-10-12,09:12:09,2071,440,1969.27,1715.645321,10879.4567741,0
26,2018-10-12,09:12:51,2070,438,1988.8357,1729.839556,10811.1216815,0
27,2018-10-12,09:13:19,2070,437,2022.1606,1755.7189319,11004.1398448,0
28,2018-10-12,09:13:38,2069,435,2004.0186,1741.1739628,11103.74414,0
29,2018-10-12,09:13:56,2069,434,1998.3522,1736.460024,11136.7217006,0
30,2018-10-12,09:14:31,2067,433,2025.6443,1760.544102,11204.8560131,0
31,2018-10-12,09:14:50,2067,433,2023.1125,1759.0272938,11317.6471746,0
32,2018-10-12,09:15:09,2066,432,2054.087,1786.6105218,11138.5741886,0
33,2018-10-12,09:15:33,2066,432,2082.304,1809.4562697,11421.1144265,0
34,2018-10-12,09:15:50,2065,431,2079.7861,1805.7795316,11299.8045299,0
35,2018-10-12,09:17:19,2052,434,2110.0874,1836.0713209,11577.9426404,0
36,2018-10-12,09:17:37,2050,434,2092.6902,1816.1354309,11633.6550732,0
37,2018-10-12,09:17:55,2049,433,2119.6956,1845.7511846,11618.3239202,0
38,2018-10-12,09:18:14,2051,430,2114.3098,1833.6566375,11673.9923781,0
39,2018-10-12,09:19:40,2047,427,2193.3213,1871.637741,11651.7676026,0
40,2018-10-12,09:19:57,2047,426,2208.7673,1879.327462,11756.4117243,0
41,2018-10-12,09:20:15,2029,433,2240.8167,1905.874679,12097.1839529,0
42,2018-10-12,09:20:51,2022,435,2295.5322,1933.3204448,11908.4489895,0
