stn;time;gor000za;gre000z0
LUZ;201701010000;0;0
LUZ;201701010010;0;0
LUZ;201701010020;0;0
LUZ;201701010030;0;0
LUZ;201701010040;0;0
LUZ;201701010050;0;0
LUZ;201701010100;0;0
LUZ;201701010110;0;0
LUZ;201701010120;0;0
LUZ;201701010130;0;0
LUZ;201701010140;0;0
LUZ;201701010150;0;0
LUZ;201701010200;0;0
LUZ;201701010210;0;0
LUZ;201701010220;0;0
LUZ;201701010230;0;0
LUZ;201701010240;0;0
LUZ;201701010250;0;0
LUZ;201701010300;1;0
LUZ;201701010310;0;0
LUZ;201701010320;0;0
LUZ;201701010330;1;0
LUZ;201701010340;0;0
LUZ;201701010350;1;0
LUZ;201701010400;1;0
LUZ;201701010410;0;0
LUZ;201701010420;0;0
LUZ;201701010430;1;0
LUZ;201701010440;0;0
LUZ;201701010450;0;0
LUZ;201701010500;1;0
LUZ;201701010510;0;0
LUZ;201701010520;0;0
LUZ;201701010530;0;0
LUZ;201701010540;0;0
LUZ;201701010550;0;0
LUZ;201701010600;0;0
LUZ;201701010610;0;0
LUZ;201701010620;0;0
LUZ;201701010630;0;0
LUZ;201701010640;0;0
LUZ;201701010650;0;0
LUZ;201701010700;0;0
LUZ;201701010710;0;0
LUZ;201701010720;1;0
LUZ;201701010730;1;0
LUZ;201701010740;0;0
LUZ;201701010750;3;0
LUZ;201701010800;1;1
LUZ;201701010810;3;11
LUZ;201701010820;2;19
LUZ;201701010830;1;26
LUZ;201701010840;3;25
LUZ;201701010850;2;37
LUZ;201701010900;2;39
LUZ;201701010910;6;47
LUZ;201701010920;4;59
LUZ;201701010930;6;73
LUZ;201701010940;1;70
LUZ;201701010950;7;63
LUZ;201701011000;8;51
LUZ;201701011010;12;69
LUZ;201701011020;33;112
LUZ;201701011030;109;236
LUZ;201701011040;15;335
LUZ;201701011050;36;384
LUZ;201701011100;19;340
LUZ;201701011110;10;343
LUZ;201701011120;6;340
LUZ;201701011130;4;330
LUZ;201701011140;13;337
LUZ;201701011150;11;340
LUZ;201701011200;7;352
LUZ;201701011210;34;340
LUZ;201701011220;10;314
LUZ;201701011230;15;304
LUZ;201701011240;11;295
LUZ;201701011250;3;288
LUZ;201701011300;6;277
LUZ;201701011310;11;264
LUZ;201701011320;11;250
LUZ;201701011330;8;231
LUZ;201701011340;5;223
LUZ;201701011350;19;201
LUZ;201701011400;26;164
LUZ;201701011410;9;162
LUZ;201701011420;6;149
LUZ;201701011430;21;120
LUZ;201701011440;18;38
LUZ;201701011450;4;22
LUZ;201701011500;4;8
LUZ;201701011510;1;1
LUZ;201701011520;1;0
LUZ;201701011530;1;0
LUZ;201701011540;1;0
LUZ;201701011550;1;0
LUZ;201701011600;1;0
LUZ;201701011610;0;0
LUZ;201701011620;0;0
LUZ;201701011630;0;0
LUZ;201701011640;0;0
LUZ;201701011650;0;0
LUZ;201701011700;0;0
LUZ;201701011710;0;0
LUZ;201701011720;1;0
LUZ;201701011730;1;0
LUZ;201701011740;1;0
LUZ;201701011750;0;0
LUZ;201701011800;0;0
LUZ;201701011810;0;0
LUZ;201701011820;0;0
LUZ;201701011830;1;0
LUZ;201701011840;0;0
LUZ;201701011850;0;0
LUZ;201701011900;1;0
LUZ;201701011910;0;0
LUZ;201701011920;1;0
LUZ;201701011930;0;0
LUZ;201701011940;0;0
LUZ;201701011950;0;0
LUZ;201701012000;0;0
LUZ;201701012010;0;0
LUZ;201701012020;0;0
LUZ;201701012030;0;0
LUZ;201701012040;1;0
LUZ;201701012050;1;0
LUZ;201701012100;0;0
LUZ;201701012110;0;0
LUZ;201701012120;0;0
LUZ;201701012130;0;0
LUZ;201701012140;0;0
LUZ;201701012150;0;0
LUZ;201701012200;1;0
LUZ;201701012210;0;0
LUZ;201701012220;0;0
LUZ;201701012230;0;0
LUZ;201701012240;0;0
LUZ;201701012250;0;0
LUZ;201701012300;0;0
LUZ;201701012310;1;0
LUZ;201701012320;0;0
LUZ;201701012330;0;0
LUZ;201701012340;0;0
LUZ;201701012350;0;0
LUZ;201701020000;0;0
LUZ;201701020010;0;0
LUZ;201701020020;0;0
LUZ;201701020030;0;0
LUZ;201701020040;0;0
LUZ;201701020050;0;0
LUZ;201701020100;0;0
LUZ;201701020110;0;0
LUZ;201701020120;0;0
LUZ;201701020130;0;0
LUZ;201701020140;1;0
LUZ;201701020150;1;0
LUZ;201701020200;0;0
LUZ;201701020210;0;0
LUZ;201701020220;0;0
LUZ;201701020230;1;0
LUZ;201701020240;0;0
LUZ;201701020250;0;0
LUZ;201701020300;1;0
LUZ;201701020310;0;0
LUZ;201701020320;0;0
LUZ;201701020330;0;0
LUZ;201701020340;0;0
LUZ;201701020350;0;0
LUZ;201701020400;0;0
LUZ;201701020410;0;0
LUZ;201701020420;0;0
LUZ;201701020430;0;0
LUZ;201701020440;0;0
LUZ;201701020450;0;0
LUZ;201701020500;0;0
LUZ;201701020510;0;0
LUZ;201701020520;0;0
