stn;time;fkl010d1;fu3010d0;dkl010d0
LUZ;20170101;3.6;3.6;239
LUZ;20170102;3.1;2.9;270
LUZ;20170103;3.5;3.2;333
LUZ;20170104;13.8;7.6;274
LUZ;20170105;13.4;10.4;298
LUZ;20170106;5.2;5.8;356
LUZ;20170107;5.1;4.7;355
LUZ;20170108;3.4;2.9;360
LUZ;20170109;9.7;4.0;320
LUZ;20170110;6.1;2.2;198
LUZ;20170111;8.8;3.6;202
LUZ;20170112;5.3;4.0;217
LUZ;20170113;31.1;17.3;263
LUZ;20170114;15.4;11.9;270
LUZ;20170115;5.8;3.2;288
LUZ;20170116;9.4;6.8;336
LUZ;20170117;13.6;17.3;11
LUZ;20170118;8.3;11.2;22
LUZ;20170119;5.7;6.5;360
LUZ;20170120;4.1;4.3;338
LUZ;20170121;4.4;5.0;351
LUZ;20170122;3.6;4.7;355
LUZ;20170123;4.8;5.8;360
LUZ;20170124;6.6;5.4;344
LUZ;20170125;5.6;6.5;343
LUZ;20170126;4.2;5.0;343
LUZ;20170127;4.6;4.3;353
LUZ;20170128;3.9;3.2;360
LUZ;20170129;3.2;2.9;270
LUZ;20170130;5.3;2.9;207
LUZ;20170131;2.5;2.5;243
LUZ;20170201;3.0;2.9;225
LUZ;20170202;5.3;4.0;9
LUZ;20170203;6.3;5.0;180
LUZ;20170204;13.0;6.8;281
LUZ;20170205;6.9;4.7;346
LUZ;20170206;3.6;2.5;214
LUZ;20170207;4.0;2.5;198
LUZ;20170208;4.5;3.6;310
LUZ;20170209;4.9;5.4;347
LUZ;20170210;2.7;2.5;315
LUZ;20170211;4.8;4.0;214
LUZ;20170212;4.6;4.0;321
LUZ;20170213;4.2;4.3;16
LUZ;20170214;3.6;3.6;225
LUZ;20170215;3.2;2.9;207
LUZ;20170216;4.5;4.0;214
LUZ;20170217;5.8;4.3;180
LUZ;20170218;5.2;3.2;284
LUZ;20170219;4.8;3.2;135
LUZ;20170220;5.0;4.0;187
LUZ;20170221;4.4;3.6;188
LUZ;20170222;6.8;5.0;196
LUZ;20170223;18.6;9.7;267
LUZ;20170224;17.9;9.0;274
LUZ;20170225;5.2;5.8;360
LUZ;20170226;5.4;4.0;217
LUZ;20170227;5.9;4.7;207
LUZ;20170228;24.3;14.0;252
LUZ;20170301;17.8;13.0;261
LUZ;20170302;11.7;7.6;270
LUZ;20170303;4.5;3.6;14
LUZ;20170304;24.0;16.2;108
LUZ;20170305;18.7;8.3;257
LUZ;20170306;14.8;8.6;252
LUZ;20170307;10.3;6.8;255
LUZ;20170308;4.0;3.6;191
LUZ;20170309;3.9;2.9;207
LUZ;20170310;6.4;5.4;326
LUZ;20170311;4.5;4.0;270
LUZ;20170312;4.3;4.0;297
LUZ;20170313;5.5;4.7;360
LUZ;20170314;6.0;4.3;333
LUZ;20170315;-;4.3;-
LUZ;20170316;-;3.6;-
LUZ;20170317;-;6.8;-
LUZ;20170318;12.9;7.2;311
LUZ;20170319;6.4;4.3;187
LUZ;20170320;5.2;4.3;346
LUZ;20170321;4.7;4.0;108
LUZ;20170322;7.1;5.4;360
LUZ;20170323;6.4;6.5;130
LUZ;20170324;8.0;6.1;340
LUZ;20170325;6.6;6.8;332
LUZ;20170326;6.8;5.0;217
LUZ;20170327;4.5;4.3;180
LUZ;20170328;5.0;4.0;252
LUZ;20170329;6.7;4.3;321
LUZ;20170330;5.2;4.3;315
LUZ;20170331;6.0;4.3;309
LUZ;20170401;11.4;7.9;311
LUZ;20170402;4.6;4.7;284
LUZ;20170403;8.3;4.3;321
LUZ;20170404;7.5;4.7;135
LUZ;20170405;10.5;5.4;261
LUZ;20170406;6.8;6.8;330
LUZ;20170407;4.6;5.4;323
LUZ;20170408;5.4;4.7;333
LUZ;20170409;5.8;4.3;360
LUZ;20170410;12.1;7.6;285
LUZ;20170411;5.5;5.4;326
LUZ;20170412;10.6;5.0;360
LUZ;20170413;10.3;7.2;346
