img_nr,iso,ss,exp,r_avg,g_avg,b_avg
1,100,9,9,4095.02,4095.24,4097.63
2,100,47,9,4093.48,4093.30,4095.91
3,100,104,9,4094.66,4094.34,4097.19
4,100,142,47,4096.86,4094.85,4098.33
5,100,198,104,4098.59,4095.22,4101.17
6,100,255,161,4100.31,4096.73,4102.88
7,100,293,198,4101.85,4097.27,4103.59
8,100,350,255,4103.56,4098.01,4106.45
9,100,406,312,4105.02,4099.55,4107.50
10,100,444,350,4106.61,4100.48,4108.20
11,100,501,406,4109.14,4102.18,4110.51
12,100,558,463,4110.34,4103.64,4111.79
13,100,595,501,4111.77,4104.73,4112.94
14,100,652,558,4113.17,4106.34,4113.97
15,100,709,614,4115.66,4108.27,4115.38
16,100,747,652,4116.94,4109.48,4116.67
17,100,803,709,4118.45,4111.05,4117.66
18,100,841,747,4119.99,4112.36,4118.51
19,100,898,803,4122.34,4114.75,4119.68
20,100,955,860,4123.77,4116.69,4120.62
21,100,992,898,4125.33,4117.87,4121.83
22,100,1049,955,4127.08,4120.03,4122.61
23,100,1106,1011,4129.06,4121.99,4123.77
24,100,1144,1049,4130.33,4123.13,4124.69
25,100,1200,1106,4132.60,4125.31,4125.40
26,100,1257,1163,4134.28,4127.31,4126.52
27,100,1295,1200,4135.45,4128.56,4127.21
28,100,1352,1257,4137.19,4130.35,4128.18
29,100,1408,1314,4139.00,4132.39,4128.90
30,100,1446,1352,4140.93,4133.90,4130.26
31,100,1503,1408,4142.58,4135.68,4131.20
32,100,1541,1446,4144.10,4137.40,4131.81
33,100,1597,1503,4145.74,4138.90,4133.48
34,100,1654,1560,4147.73,4140.70,4134.15
35,100,1692,1597,4149.28,4142.04,4135.32
36,100,1749,1654,4151.39,4143.80,4136.57
37,100,1805,1711,4153.07,4145.78,4137.51
38,100,1843,1749,4154.29,4146.55,4138.44
39,100,1900,1805,4156.44,4148.52,4139.77
40,100,1957,1862,4158.40,4150.31,4141.23
41,100,1994,1900,4159.67,4151.42,4141.70
42,100,2051,1957,4161.80,4153.09,4143.34
43,100,2108,2013,4164.16,4154.71,4145.16
44,100,2146,2051,4164.90,4156.09,4146.05
45,100,2202,2108,4167.02,4157.34,4147.80
46,100,2259,2164,4169.35,4159.00,4148.88
47,100,2297,2202,4170.65,4159.72,4150.28
48,100,2354,2354,4173.90,4162.25,4152.72
49,100,2410,2354,4175.18,4162.97,4153.55
50,100,2448,2354,4176.09,4164.22,4154.40
51,100,2505,2410,4177.97,4165.24,4156.10
52,100,2543,2448,4179.55,4166.31,4156.98
53,100,2599,2505,4181.23,4168.10,4158.66
54,100,2656,2561,4183.57,4169.40,4160.99
55,100,2694,2599,4184.42,4170.07,4161.64
56,100,2750,2656,4186.30,4171.28,4163.53
57,100,2807,2713,4188.33,4172.94,4165.15
58,100,2845,2750,4189.39,4173.75,4166.44
59,100,2902,2807,4191.06,4175.15,4167.96
60,100,2958,2864,4193.34,4176.31,4170.48
61,100,2996,2902,4194.76,4177.39,4170.66
62,100,3053,2958,4196.30,4178.56,4172.98
63,100,3110,3015,4198.87,4179.68,4175.46
64,100,3147,3053,4199.43,4180.86,4176.49
65,100,3204,3110,4201.95,4181.80,4178.56
66,100,3242,3147,4203.20,4183.32,4179.33
67,100,3299,3204,4205.15,4184.19,4181.74
68,100,3355,3261,4206.63,4185.31,4183.16
69,100,3393,3299,4208.17,4186.17,4184.91
70,100,3450,3355,4210.16,4187.34,4186.58
71,100,3507,3412,4211.87,4188.20,4188.63
72,100,3544,3450,4213.03,4189.05,4189.84
73,100,3601,3507,4214.59,4189.92,4192.34
74,100,3658,3563,4216.88,4191.04,4193.29
75,100,3696,3601,4217.73,4192.04,4195.39
76,100,3752,3658,4220.02,4192.90,4197.37
77,100,3809,3715,4222.41,4193.70,4200.06
78,100,3847,3752,4223.16,4194.51,4201.53
79,100,3904,3809,4225.02,4195.34,4203.56
80,100,3960,3866,4227.30,4196.43,4205.78
81,100,3998,3904,4228.80,4197.51,4206.93
82,100,4055,3960,4230.90,4198.02,4209.81
83,100,4093,3998,4231.72,4198.35,4210.79
84,100,4149,4055,4233.41,4199.33,4212.34
85,100,4206,4112,4235.39,4200.15,4214.76
86,100,4244,4149,4236.83,4201.00,4216.14
87,100,4301,4206,4238.94,4201.32,4218.84
88,100,4357,4263,4240.79,4202.34,4220.91
89,100,4395,4301,4242.31,4203.18,4222.29
90,100,4452,4357,4243.91,4203.79,4224.59
91,100,4509,4414,4246.03,4204.50,4227.04
92,100,4546,4452,4247.58,4205.29,4228.60
93,100,4603,4509,4249.15,4206.51,4230.58
94,100,4660,4565,4251.51,4206.89,4232.93
95,100,4698,4603,4253.16,4207.60,4235.37
96,100,4754,4717,4254.98,4208.48,4237.58
97,100,4811,4717,4256.54,4209.11,4239.73
98,100,4849,4754,4257.97,4209.67,4241.00
99,100,4906,4811,4260.75,4210.89,4244.03
100,100,4962,4868,4261.92,4211.52,4245.96
101,100,5000,4906,4262.66,4211.69,4247.28
102,100,5057,4962,4264.85,4212.62,4249.31
103,100,5095,5000,4265.94,4213.44,4251.40
104,100,5151,5057,4268.63,4214.27,4253.85
105,100,5208,5113,4269.66,4215.25,4254.93
106,100,5246,5151,4271.03,4215.30,4256.61
107,100,5303,5208,4273.05,4216.64,4260.21
108,100,5359,5265,4274.63,4217.58,4262.12
109,100,5397,5303,4276.25,4217.92,4263.54
110,100,5454,5359,4273.91,4216.62,4260.59
111,100,5510,5416,4280.37,4219.71,4268.18
112,100,5548,5454,4281.24,4220.80,4269.63
113,100,5605,5510,4282.72,4221.20,4271.49
114,100,5662,5567,4284.57,4221.69,4273.95
115,100,5700,5605,4286.20,4222.83,4275.02
116,100,5756,5662,4288.13,4223.74,4278.07
117,100,5794,5700,4289.25,4224.44,4279.13
118,100,5851,5756,4291.48,4225.77,4281.79
119,100,5907,5813,4293.39,4226.67,4283.96
120,100,5945,5851,4294.47,4227.90,4285.21
121,100,6002,5907,4294.95,4227.97,4287.00
122,100,6059,5964,4298.15,4229.52,4289.41
123,100,6096,6002,4299.78,4230.22,4291.24
124,100,6153,6059,4301.46,4231.40,4293.88
125,100,6210,6115,4302.51,4232.24,4295.31
126,100,6248,6153,4304.76,4232.81,4297.10
127,100,6304,6210,4305.76,4234.22,4299.28
128,100,6361,6267,4307.25,4235.01,4301.44
129,100,6399,6304,4308.95,4235.47,4302.44
130,100,6456,6361,4309.95,4236.72,4303.99
131,100,6512,6418,4311.66,4237.38,4306.39
132,100,6550,6456,4308.82,4235.73,4301.68
133,100,6607,6512,4313.47,4238.73,4307.37
134,100,6645,6550,4314.40,4239.17,4308.78
135,100,6701,6607,4312.93,4238.29,4308.66
136,100,6758,6664,4316.03,4240.62,4311.47
137,100,6796,6701,4318.88,4241.93,4313.86
138,100,6853,6758,4320.48,4243.32,4315.53
139,100,6909,6815,4319.73,4242.70,4315.23
140,100,6947,6853,4321.59,4244.00,4316.81
141,100,7004,6909,4327.72,4248.01,4324.04
142,100,7061,6966,4329.75,4249.30,4326.34
143,100,7098,7080,4331.62,4249.98,4328.25
144,100,7155,7080,4333.10,4251.12,4330.38
145,100,7212,7117,4335.08,4252.21,4331.74
146,100,7250,7155,4335.63,4252.98,4332.25
147,100,7306,7212,4337.92,4254.13,4335.46
148,100,7363,7269,4340.06,4255.50,4336.63
149,100,7401,7306,4341.17,4256.12,4338.66
150,100,7458,7363,4342.40,4257.49,4339.83
151,100,7495,7401,4343.79,4257.96,4341.55
152,100,7552,7458,4346.39,4259.47,4343.90
153,100,7609,7514,4347.53,4260.62,4346.26
154,100,7647,7552,4349.43,4261.30,4347.52
155,100,7703,7609,4351.18,4262.68,4349.16
156,100,7760,7666,4352.67,4263.85,4351.05
157,100,7798,7703,4354.16,4264.60,4352.24
158,100,7855,7760,4355.26,4265.09,4353.22
159,100,7911,7817,4356.07,4265.90,4355.36
160,100,7949,7855,4358.50,4267.04,4356.92
161,100,8006,7911,4360.33,4268.67,4359.62
162,100,8063,7968,4362.15,4269.79,4361.19
163,100,8100,8006,4362.61,4270.34,4362.40
164,100,8157,8063,4365.03,4271.68,4364.96
165,100,8195,8100,4366.24,4272.62,4365.99
166,100,8252,8157,4368.04,4273.15,4367.26
167,100,8308,8214,4370.09,4274.72,4369.86
168,100,8346,8252,4372.90,4276.62,4372.94
169,100,8403,8308,4374.90,4277.66,4375.21
170,100,8459,8365,4375.85,4278.55,4376.14
171,100,8497,8403,4377.73,4279.24,4377.89
172,100,8554,8459,4379.20,4280.41,4379.47
173,100,8611,8516,4380.67,4281.01,4380.75
