img_nr,iso,ss,exp,avg_brgt
1,100,0,19896,87.90
2,100,47,9,64.09
3,100,85,28,64.04
4,100,142,85,64.11
5,100,198,142,64.19
6,100,236,180,64.24
7,100,293,236,64.31
8,100,350,293,64.39
9,100,387,331,64.44
10,100,444,387,64.52
11,100,482,425,64.57
12,100,539,482,64.64
13,100,595,539,64.72
14,100,633,577,64.77
15,100,690,633,64.84
16,100,747,690,64.91
17,100,784,728,64.96
18,100,841,784,65.03
19,100,898,841,65.10
20,100,936,879,65.15
21,100,992,936,65.21
22,100,1049,992,65.28
23,100,1087,1030,65.31
24,100,1144,1087,65.38
25,100,1200,1144,65.45
26,100,1238,1181,65.49
27,100,1295,1238,65.55
28,100,1352,1295,65.62
29,100,1389,1333,65.66
30,100,1446,1389,65.73
31,100,1503,1446,65.80
32,100,1541,1484,65.85
33,100,1597,1541,65.92
34,100,1654,1597,66.01
35,100,1692,1635,66.07
36,100,1749,1692,66.15
37,100,1786,1730,66.22
38,100,1843,1786,66.32
39,100,1900,1843,66.43
40,100,1938,1881,66.51
41,100,1994,1938,66.62
42,100,2051,1994,66.75
43,100,2089,2032,66.84
44,100,2146,2089,66.97
45,100,2202,2146,67.09
46,100,2240,2183,67.19
47,100,2297,2240,67.31
48,100,2354,2354,67.49
49,100,2391,2354,67.52
50,100,2448,2391,67.64
51,100,2505,2448,67.76
52,100,2543,2486,67.83
53,100,2599,2543,67.94
54,100,2656,2599,67.94
55,100,2694,2637,68.08
56,100,2750,2694,68.27
57,100,2807,2750,68.39
58,100,2845,2788,68.48
59,100,2902,2845,68.60
60,100,2940,2883,68.69
61,100,2996,2940,68.82
62,100,3053,2996,68.93
63,100,3091,3034,69.03
64,100,3147,3091,69.14
65,100,3204,3147,69.25
66,100,3242,3185,69.33
67,100,3299,3242,69.43
68,100,3355,3299,69.53
69,100,3393,3337,69.60
70,100,3450,3393,69.70
71,100,3507,3450,69.80
72,100,3544,3488,69.88
73,100,3601,3544,69.98
74,100,3658,3601,70.09
75,100,3696,3639,70.17
76,100,3752,3696,70.28
77,100,3809,3752,70.39
78,100,3847,3790,70.47
79,100,3904,3847,70.59
80,100,3960,3904,70.69
81,100,3998,3941,70.77
82,100,4055,3998,70.88
83,100,4093,4036,70.95
84,100,4149,4093,71.06
85,100,4206,4149,71.17
86,100,4244,4187,71.24
87,100,4301,4244,71.36
88,100,4357,4301,71.47
89,100,4395,4338,71.56
90,100,4452,4395,71.68
91,100,4509,4452,71.79
92,100,4546,4490,71.87
93,100,4603,4546,71.99
94,100,4660,4603,72.12
95,100,4698,4641,72.20
96,100,4754,4717,72.33
97,100,4811,4754,72.45
98,100,4849,4792,72.55
99,100,4906,4849,72.68
100,100,4962,4906,72.81
101,100,5000,4943,72.90
102,100,5057,5000,73.03
103,100,5113,5057,73.14
104,100,5151,5095,73.23
105,100,5208,5151,73.34
106,100,5246,5189,73.41
107,100,5303,5246,73.51
108,100,5359,5303,73.61
109,100,5397,5340,73.67
110,100,5454,5397,73.77
111,100,5510,5454,73.87
112,100,5548,5492,73.93
113,100,5605,5548,74.03
114,100,5662,5605,74.12
115,100,5700,5643,74.18
116,100,5756,5700,74.27
117,100,5813,5756,74.37
118,100,5851,5794,74.43
119,100,5907,5851,74.53
120,100,5964,5907,74.63
121,100,6002,5945,74.70
122,100,6059,6002,74.80
123,100,6115,6059,74.92
124,100,6153,6096,75.00
125,100,6210,6153,75.12
126,100,6267,6210,75.24
127,100,6304,6248,75.33
128,100,6361,6304,75.44
129,100,6418,6361,75.56
130,100,6456,6399,75.64
131,100,6512,6456,75.75
132,100,6550,6493,75.83
133,100,6607,6550,75.94
134,100,6664,6607,76.04
135,100,6701,6645,76.12
136,100,6758,6701,76.22
137,100,6815,6758,76.33
138,100,6853,6796,76.40
139,100,6909,6853,76.50
140,100,6966,6909,76.60
141,100,7004,6947,76.66
142,100,7061,7004,76.75
143,100,7117,7080,76.84
144,100,7155,7098,76.89
145,100,7212,7155,76.97
146,100,7269,7212,77.06
147,100,7306,7250,77.10
148,100,7363,7306,77.17
149,100,7420,7363,77.24
150,100,7458,7401,77.29
151,100,7514,7458,77.35
152,100,7571,7514,77.41
153,100,7609,7552,77.44
154,100,7666,7609,77.50
155,100,7722,7666,77.55
156,100,7760,7703,77.57
157,100,7817,7760,77.61
158,100,7855,7798,77.62
159,100,7911,7855,77.66
160,100,7968,7911,77.70
161,100,8006,7949,77.72
162,100,8063,8006,77.75
163,100,8119,8063,77.78
164,100,8157,8100,77.79
165,100,8214,8157,77.81
166,100,8270,8214,77.84
167,100,8308,8252,77.83
168,100,8365,8308,77.85
169,100,8422,8365,77.87
170,100,8459,8403,77.86
171,100,8516,8459,77.87
172,100,8573,8516,77.88
173,100,8611,8554,77.88
174,100,8667,8611,77.90
175,100,8724,8667,77.92
176,100,8762,8705,77.93
177,100,8819,8762,77.96
178,100,8875,8819,78.01
179,100,8913,8856,78.03
180,100,8970,8913,78.08
181,100,9008,8951,78.12
182,100,9064,9008,78.18
183,100,9121,9064,78.24
184,100,9159,9102,78.27
185,100,9216,9159,78.34
186,100,9272,9216,78.40
187,100,9310,9253,78.44
188,100,9367,9310,78.51
189,100,9424,9367,78.59
190,100,9461,9443,78.66
191,100,9518,9461,78.72
192,100,9575,9518,78.81
193,100,9613,9556,78.87
194,100,9669,9613,78.95
195,100,9726,9669,79.04
196,100,9764,9707,79.10
197,100,9821,9764,79.18
198,100,9877,9821,79.24
199,100,9915,9858,79.28
200,100,9972,9915,79.34
201,100,10029,9972,79.39
202,100,10066,10010,79.42
203,100,10123,10066,79.47
204,100,10161,10104,79.49
205,100,10218,10161,79.54
206,100,10274,10218,79.59
207,100,10312,10255,79.62
208,100,10369,10312,79.68
209,100,10426,10369,79.74
210,100,10463,10407,79.77
211,100,10520,10463,79.83
212,100,10577,10520,79.89
213,100,10615,10558,79.92
214,100,10671,10615,79.99
215,100,10728,10671,80.05
216,100,10766,10709,80.10
217,100,10822,10766,80.17
218,100,10879,10822,80.26
219,100,10917,10860,80.32
220,100,10974,10917,80.41
221,100,11030,10974,80.51
222,100,11068,11012,80.58
223,100,11125,11068,80.68
224,100,11182,11125,80.79
225,100,11219,11163,80.88
226,100,11276,11219,80.99
227,100,11333,11276,81.09
228,100,11371,11314,81.18
229,100,11427,11371,81.28
230,100,11465,11409,81.36
231,100,11522,11465,81.46
232,100,11579,11522,81.55
233,100,11616,11560,81.63
234,100,11673,11616,81.72
235,100,11730,11673,81.81
236,100,11768,11711,81.88
237,100,11824,11806,81.99
238,100,11881,11824,82.06
239,100,11919,11862,82.12
240,100,11976,11919,82.19
241,100,12032,11976,82.28
242,100,12070,12013,82.33
243,100,12127,12070,82.39
244,100,12184,12127,82.46
245,100,12221,12165,82.50
246,100,12278,12221,82.56
247,100,12335,12278,82.62
248,100,12373,12316,82.64
249,100,12429,12373,82.69
250,100,12486,12429,82.74
251,100,12524,12467,82.76
252,100,12581,12524,82.80
253,100,12637,12581,82.83
254,100,12675,12618,82.85
255,100,12732,12675,82.89
256,100,12770,12713,82.90
257,100,12826,12770,82.92
258,100,12883,12826,82.94
259,100,12921,12864,82.94
260,100,12978,12921,82.95
261,100,13034,12978,82.95
262,100,13072,13015,82.91
263,100,13129,13072,82.89
264,100,13185,13129,82.85
265,100,13223,13167,82.79
266,100,13280,13223,82.73
267,100,13337,13280,82.67
268,100,13375,13318,82.58
269,100,13431,13375,82.50
270,100,13488,13431,82.42
271,100,13526,13469,82.33
272,100,13582,13526,82.25
273,100,13639,13582,82.19
274,100,13677,13620,82.11
275,100,13734,13677,82.06
276,100,13790,13734,82.02
277,100,13828,13772,81.98
278,100,13885,13828,81.96
279,100,13923,13866,81.92
280,100,13979,13923,81.61
281,100,14036,13979,81.04
282,100,14074,14017,76.69
283,100,14131,14074,72.00
284,100,14187,14169,73.38
285,100,14225,14169,75.06
286,100,14282,14225,75.02
287,100,14339,14282,70.95
288,100,14376,14320,72.44
289,100,14433,14376,72.83
290,100,14490,14433,81.08
291,100,14528,14471,82.23
292,100,14584,14528,82.33
293,100,14641,14584,82.43
294,100,14679,14622,82.49
295,100,14736,14679,82.59
296,100,14792,14736,82.69
297,100,14830,14773,82.75
298,100,14887,14830,82.83
299,100,14944,14887,82.91
300,100,14981,14925,82.97
301,100,15038,14981,83.03
302,100,15076,15019,83.07
303,100,15133,15076,83.12
304,100,15189,15133,83.18
305,100,15227,15170,83.20
306,100,15284,15227,83.23
307,100,15341,15284,83.26
308,100,15378,15322,83.25
309,100,15435,15378,83.26
310,100,15492,15435,83.25
311,100,15530,15473,83.22
