 

stn;time;sremaxdv;su2000d0
LUZ;20170101;63;4.1
LUZ;20170102;21;1.4
LUZ;20170103;0;0.0
LUZ;20170104;0;0.0
LUZ;20170105;9;0.6
LUZ;20170106;36;2.5
LUZ;20170107;3;0.2
LUZ;20170108;0;0.0
LUZ;20170109;0;0.0
LUZ;20170110;0;0.0
LUZ;20170111;34;2.4
LUZ;20170112;0;0.0
LUZ;20170113;2;0.1
LUZ;20170114;0;0.0
LUZ;20170115;7;0.5
LUZ;20170116;0;0.0
LUZ;20170117;10;0.8
LUZ;20170118;3;0.2
LUZ;20170119;0;0.0
LUZ;20170120;0;0.0
LUZ;20170121;0;0.0
LUZ;20170122;0;0.0
LUZ;20170123;0;0.0
LUZ;20170124;0;0.0
LUZ;20170125;0;0.0
LUZ;20170126;0;0.0
LUZ;20170127;84;6.5
LUZ;20170128;72;5.6
LUZ;20170129;100;7.8
LUZ;20170130;0;0.0
LUZ;20170131;0;0.0
LUZ;20170201;42;3.4
LUZ;20170202;0;0.0
LUZ;20170203;42;3.4
LUZ;20170204;4;0.3
LUZ;20170205;0;0.0
LUZ;20170206;13;1.1
LUZ;20170207;4;0.3
LUZ;20170208;0;0.0
LUZ;20170209;0;0.0
LUZ;20170210;0;0.0
LUZ;20170211;55;4.9
LUZ;20170212;39;3.5
LUZ;20170213;0;0.0
LUZ;20170214;58;5.2
LUZ;20170215;93;8.5
LUZ;20170216;99;9.1
LUZ;20170217;0;0.0
LUZ;20170218;12;1.2
LUZ;20170219;78;7.3
LUZ;20170220;76;7.1
LUZ;20170221;7;0.7
LUZ;20170222;76;7.2
LUZ;20170223;73;7.0
LUZ;20170224;4;0.4
LUZ;20170225;74;7.1
LUZ;20170226;52;5.0
LUZ;20170227;86;8.4
LUZ;20170228;12;1.2
LUZ;20170301;21;2.1
LUZ;20170302;28;2.8
LUZ;20170303;56;5.7
LUZ;20170304;54;5.5
LUZ;20170305;44;4.6
LUZ;20170306;3;0.3
LUZ;20170307;12;1.2
LUZ;20170308;18;1.9
LUZ;20170309;0;0.0
LUZ;20170310;66;7.0
LUZ;20170311;98;10.4
LUZ;20170312;96;10.3
LUZ;20170313;94;10.2
LUZ;20170314;100;10.8
LUZ;20170315;99;10.8
LUZ;20170316;98;10.8
LUZ;20170317;95;10.5
LUZ;20170318;0;0.0
LUZ;20170319;20;2.2
LUZ;20170320;31;3.5
LUZ;20170321;0;0.0
LUZ;20170322;0;0.0
LUZ;20170323;85;9.8
LUZ;20170324;0;0.0
LUZ;20170325;48;5.6
LUZ;20170326;1;0.1
LUZ;20170327;99;11.6
LUZ;20170328;67;7.8
LUZ;20170329;97;11.5
LUZ;20170330;98;11.7
LUZ;20170331;78;9.3
LUZ;20170401;69;8.3
LUZ;20170402;0;0.0
LUZ;20170403;46;5.5
LUZ;20170404;20;2.4
LUZ;20170405;14;1.6
LUZ;20170406;27;3.2
LUZ;20170407;99;12.0
LUZ;20170408;100;12.1
LUZ;20170409;100;12.2
LUZ;20170410;86;10.5
LUZ;20170411;14;1.7
LUZ;20170412;98;12.1
LUZ;20170413;83;10.3
LUZ;20170414;34;4.3
LUZ;20170415;6;0.7
LUZ;20170416;0;0.0
LUZ;20170417;3;0.4
LUZ;20170418;25;3.2
LUZ;20170419;13;1.7
LUZ;20170420;48;6.1
LUZ;20170421;100;12.9
LUZ;20170422;77;9.9
LUZ;20170423;64;8.2
LUZ;20170424;92;12.0
LUZ;20170425;2;0.2
LUZ;20170426;0;0.0
LUZ;20170427;0;0.0
LUZ;20170428;6;0.8
LUZ;20170429;99;13.0
LUZ;20170430;96;12.7
LUZ;20170501;0;0.0
LUZ;20170502;53;7.0
LUZ;20170503;40;5.3
LUZ;20170504;23;3.1
LUZ;20170505;97;13.1
LUZ;20170506;8;1.1
LUZ;20170507;0;0.0
LUZ;20170508;0;0.0
LUZ;20170509;1;0.1
LUZ;20170510;91;12.6
LUZ;20170511;37;5.0
LUZ;20170512;36;4.9
LUZ;20170513;37;5.1
LUZ;20170514;15;2.1
LUZ;20170515;73;10.3
LUZ;20170516;99;13.8
LUZ;20170517;99;14.0
LUZ;20170518;8;1.1
LUZ;20170519;0;0.0
LUZ;20170520;30;4.3
LUZ;20170521;67;9.5
LUZ;20170522;90;12.9
LUZ;20170523;70;10.0
LUZ;20170524;42;6.0
LUZ;20170525;96;13.8
LUZ;20170526;99;14.3
LUZ;20170527;99;14.3
LUZ;20170528;96;13.9
LUZ;20170529;80;11.6
LUZ;20170530;56;8.1
LUZ;20170531;41;6.0
LUZ;20170601;49;7.2
LUZ;20170602;36;5.3
LUZ;20170603;55;8.1
LUZ;20170604;22;3.3
LUZ;20170605;5;0.7
LUZ;20170606;28;4.2
LUZ;20170607;80;11.8
LUZ;20170608;96;14.3
LUZ;20170609;26;3.8
LUZ;20170610;62;9.2
LUZ;20170611;97;14.4
LUZ;20170612;16;2.4
LUZ;20170613;67;9.9
LUZ;20170614;29;4.3
LUZ;20170615;42;6.2
LUZ;20170616;32;4.7
LUZ;20170617;95;14.1
LUZ;20170618;99;14.7
LUZ;20170619;91;13.5
LUZ;20170620;85;12.6
LUZ;20170621;88;13.0
LUZ;20170622;80;11.9
LUZ;20170623;55;8.2
LUZ;20170624;13;2.0
LUZ;20170625;41;6.1
LUZ;20170626;74;11.1
LUZ;20170627;21;3.1
LUZ;20170628;15;2.2
LUZ;20170629;29;4.4
LUZ;20170630;39;5.7
LUZ;20170701;14;2.0
LUZ;20170702;0;0.0
LUZ;20170703;38;5.7
LUZ;20170704;89;13.1
LUZ;20170705;83;12.2
LUZ;20170706;93;13.7
LUZ;20170707;59;8.6
LUZ;20170708;63;9.2
LUZ;20170709;11;1.6
LUZ;20170710;13;1.9
LUZ;20170711;31;4.5
LUZ;20170712;49;7.2
LUZ;20170713;10;1.5
LUZ;20170714;26;3.8
LUZ;20170715;12;1.8
LUZ;20170716;73;10.6
LUZ;20170717;99;14.2
LUZ;20170718;50;7.2
LUZ;20170719;65;9.3
LUZ;20170720;39;5.6
LUZ;20170721;55;7.9
LUZ;20170722;62;8.8
LUZ;20170723;0;0.0
LUZ;20170724;2;0.3
LUZ;20170725;23;3.3
LUZ;20170726;21;3.0
LUZ;20170727;12;1.7
LUZ;20170728;9;1.2
LUZ;20170729;61;8.4
LUZ;20170730;57;7.9
LUZ;20170731;25;3.4
LUZ;20170801;70;9.6
LUZ;20170802;81;11.1
LUZ;20170803;60;8.2
LUZ;20170804;47;6.5
LUZ;20170805;35;4.8
LUZ;20170806;20;2.8
LUZ;20170807;73;9.9
LUZ;20170808;6;0.9
LUZ;20170809;11;1.5
LUZ;20170810;0;0.1
LUZ;20170811;0;0.0
LUZ;20170812;28;3.7
LUZ;20170813;71;9.4
LUZ;20170814;94;12.3
LUZ;20170815;74;9.6
LUZ;20170816;58;7.6
LUZ;20170817;63;8.2
LUZ;20170818;66;8.5
LUZ;20170819;13;1.7
LUZ;20170820;76;9.7
LUZ;20170821;11;1.4
LUZ;20170822;100;12.7
LUZ;20170823;86;11.0
LUZ;20170824;63;7.9
LUZ;20170825;85;10.7
LUZ;20170826;68;8.5
LUZ;20170827;24;2.9
LUZ;20170828;74;9.2
LUZ;20170829;97;12.0
LUZ;20170830;76;9.4
LUZ;20170831;0;0.0
LUZ;20170901;0;0.0
LUZ;20170902;2;0.2
